Ngày,Giờ,Mưa,Nhiệt độ,Độ ẩm,Bức xạ,Khí áp,T.độ gió,H. gió
01/01/2014,00:10,0,-,-,-,-,-,-
01/01/2014,00:20,0,-,-,-,-,-,-
01/01/2014,00:30,0,-,-,-,-,-,-
01/01/2014,00:40,0,-,-,-,-,-,-
01/01/2014,00:50,0,-,-,-,-,-,-
01/01/2014,01:00,0,22.2,89,0,1013.7,1.3,225
01/01/2014,01:10,0,-,-,-,-,-,-
01/01/2014,01:20,0,-,-,-,-,-,-
01/01/2014,01:30,0,-,-,-,-,-,-
01/01/2014,01:40,0,-,-,-,-,-,-
01/01/2014,01:50,0,-,-,-,-,-,-
01/01/2014,02:00,0,21.8,90,0,1012.9,1,270
01/01/2014,02:10,0,-,-,-,-,-,-
01/01/2014,02:20,0,-,-,-,-,-,-
01/01/2014,02:30,0,-,-,-,-,-,-
01/01/2014,02:40,0,-,-,-,-,-,-
01/01/2014,02:50,0,-,-,-,-,-,-
01/01/2014,03:00,0,22.8,80,0,1012.5,3.1,320
01/01/2014,03:10,0,-,-,-,-,-,-
01/01/2014,03:20,0,-,-,-,-,-,-
01/01/2014,03:30,0,-,-,-,-,-,-
01/01/2014,03:40,0,-,-,-,-,-,-
01/01/2014,03:50,0,-,-,-,-,-,-
01/01/2014,04:00,0,22.7,80,0,1012.5,1.2,235
01/01/2014,04:10,0,-,-,-,-,-,-
01/01/2014,04:20,0,-,-,-,-,-,-
01/01/2014,04:30,0,-,-,-,-,-,-
01/01/2014,04:40,0,-,-,-,-,-,-
01/01/2014,04:50,0,-,-,-,-,-,-
01/01/2014,05:00,0,22,84,0,1012.5,3.7,319
01/01/2014,05:10,0,-,-,-,-,-,-
01/01/2014,05:20,0,-,-,-,-,-,-
01/01/2014,05:30,0,-,-,-,-,-,-
01/01/2014,05:40,0,-,-,-,-,-,-
01/01/2014,05:50,0,-,-,-,-,-,-
01/01/2014,06:00,0,21.6,85,0,1013.2,2.2,321
01/01/2014,06:10,0,-,-,-,-,-,-
01/01/2014,06:20,0,-,-,-,-,-,-
01/01/2014,06:30,0,-,-,-,-,-,-
01/01/2014,06:40,0,-,-,-,-,-,-
01/01/2014,06:50,0,-,-,-,-,-,-
01/01/2014,07:00,0,21.5,83,0,1014,1.7,283
01/01/2014,07:10,0,-,-,-,-,-,-
01/01/2014,07:20,0,-,-,-,-,-,-
01/01/2014,07:30,0,-,-,-,-,-,-
01/01/2014,07:40,0,-,-,-,-,-,-
01/01/2014,07:50,0,-,-,-,-,-,-
01/01/2014,08:00,0,21.8,83,195,1014.7,2.7,303
01/01/2014,08:10,0,-,-,-,-,-,-
01/01/2014,08:20,0,-,-,-,-,-,-
01/01/2014,08:30,0,-,-,-,-,-,-
01/01/2014,08:40,0,-,-,-,-,-,-
01/01/2014,08:50,0,-,-,-,-,-,-
01/01/2014,09:00,0,22.7,80,259,1014.9,2.1,299
01/01/2014,09:10,0,-,-,-,-,-,-
01/01/2014,09:20,0,-,-,-,-,-,-
01/01/2014,09:30,0,-,-,-,-,-,-
01/01/2014,09:40,0,-,-,-,-,-,-
01/01/2014,09:50,0,-,-,-,-,-,-
01/01/2014,10:00,0,24,75,671,1014.8,1.6,317
